symbol,date,time,open,high,low,close,volume
EURUSD,21/04/2017,00:00,1.07133,1.07375,1.06817,1.07261,82197
EURUSD,23/04/2017,00:00,1.09027,1.09041,1.08641,1.08729,15852
EURUSD,24/04/2017,00:00,1.08728,1.08770,1.08203,1.08645,117876
EURUSD,25/04/2017,00:00,1.08645,1.09494,1.08508,1.09270,98346
EURUSD,26/04/2017,00:00,1.09272,1.09503,1.08548,1.09078,113835
EURUSD,27/04/2017,00:00,1.09077,1.09323,1.08512,1.08647,107299
EURUSD,28/04/2017,00:00,1.08649,1.09468,1.08565,1.08981,93883
EURUSD,30/04/2017,00:00,1.09059,1.09107,1.08876,1.09054,5269
EURUSD,01/05/2017,00:00,1.09053,1.09234,1.08837,1.09081,53462
EURUSD,02/05/2017,00:00,1.09082,1.09357,1.08874,1.09341,78696
EURUSD,03/05/2017,00:00,1.09344,1.09363,1.08806,1.08876,93016
EURUSD,04/05/2017,00:00,1.08876,1.09867,1.08743,1.09799,108257
EURUSD,05/05/2017,00:00,1.09800,1.09984,1.09449,1.09981,99179
EURUSD,07/05/2017,00:00,1.10194,1.10207,1.09629,1.09641,10963
EURUSD,08/05/2017,00:00,1.09643,1.09962,1.09156,1.09259,97995
EURUSD,09/05/2017,00:00,1.09261,1.09328,1.08628,1.08857,107783
EURUSD,10/05/2017,00:00,1.08858,1.08976,1.08525,1.08668,97443
EURUSD,11/05/2017,00:00,1.08668,1.08925,1.08386,1.08638,89176
EURUSD,12/05/2017,00:00,1.08639,1.09337,1.08550,1.09307,85793
EURUSD,14/05/2017,00:00,1.09307,1.09340,1.09221,1.09275,5528
EURUSD,15/05/2017,00:00,1.09274,1.09889,1.09221,1.09794,80530
EURUSD,16/05/2017,00:00,1.09795,1.10967,1.09786,1.10928,116002
EURUSD,17/05/2017,00:00,1.10929,1.11694,1.10811,1.11537,138425
EURUSD,18/05/2017,00:00,1.11538,1.11714,1.10749,1.11097,159760
EURUSD,19/05/2017,00:00,1.11098,1.12113,1.10991,1.12057,106466
